               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.054836,            0.069662,                   0,             0.62154,             0.54191,             0.54987,             0.20627,             0.05409,            0.051358,                   0,          0.00086735,          0.00086735,          0.00086735
                  49,            0.056175,            0.069833,                   0,             0.59667,             0.53996,             0.53966,             0.20763,            0.054109,            0.051051,                   0,           0.0008624,           0.0008624,           0.0008624
                  50,            0.055292,            0.071342,                   0,             0.59249,             0.54386,             0.54385,             0.21114,            0.053687,            0.051576,                   0,          0.00085745,          0.00085745,          0.00085745
                  51,            0.054526,            0.065308,                   0,             0.59588,             0.54581,             0.55324,             0.21887,            0.053491,            0.051175,                   0,           0.0008525,           0.0008525,           0.0008525
                  52,            0.054875,            0.071057,                   0,             0.61528,             0.55025,             0.55181,             0.21147,            0.054094,            0.052091,                   0,          0.00084755,          0.00084755,          0.00084755
                  53,            0.053938,            0.062291,                   0,             0.63855,             0.54754,             0.56231,             0.21604,            0.053562,            0.051185,                   0,           0.0008426,           0.0008426,           0.0008426
                  54,            0.055221,            0.065907,                   0,             0.64111,             0.51949,             0.55657,             0.21693,             0.05353,            0.051638,                   0,          0.00083765,          0.00083765,          0.00083765
                  55,            0.055294,             0.06944,                   0,             0.63803,             0.53411,             0.56839,              0.2145,            0.053297,            0.051024,                   0,           0.0008327,           0.0008327,           0.0008327
                  56,            0.054271,            0.072422,                   0,             0.62737,             0.53996,             0.56744,             0.21993,            0.052933,            0.051171,                   0,          0.00082775,          0.00082775,          0.00082775
                  57,            0.055216,            0.069446,                   0,             0.61007,             0.54483,             0.55695,             0.20647,             0.05449,            0.051281,                   0,           0.0008228,           0.0008228,           0.0008228
                  58,            0.053725,            0.067798,                   0,             0.60974,             0.54581,             0.55245,             0.21094,            0.053614,            0.051274,                   0,          0.00081785,          0.00081785,          0.00081785
                  59,            0.054366,            0.073378,                   0,              0.6203,             0.54776,             0.55675,             0.21454,            0.053337,            0.051449,                   0,           0.0008129,           0.0008129,           0.0008129
                  60,            0.053139,            0.065165,                   0,             0.61876,             0.55556,             0.56205,             0.21462,            0.053217,            0.051347,                   0,          0.00080795,          0.00080795,          0.00080795
                  61,            0.053564,            0.064713,                   0,             0.61772,             0.54386,             0.56083,             0.21553,            0.053281,             0.05141,                   0,            0.000803,            0.000803,            0.000803
                  62,            0.054087,             0.07522,                   0,             0.62476,             0.53509,             0.55551,              0.2163,              0.0536,            0.051302,                   0,          0.00079805,          0.00079805,          0.00079805
                  63,            0.052691,            0.065525,                   0,              0.6095,             0.54461,             0.55892,             0.21774,            0.053351,            0.051245,                   0,           0.0007931,           0.0007931,           0.0007931
                  64,            0.053476,            0.067691,                   0,             0.61819,             0.54971,             0.56464,             0.21476,            0.053434,            0.051608,                   0,          0.00078815,          0.00078815,          0.00078815
                  65,            0.051899,            0.066143,                   0,             0.63092,             0.53314,             0.55584,             0.21634,            0.053564,            0.051377,                   0,           0.0007832,           0.0007832,           0.0007832
                  66,            0.051773,            0.065536,                   0,             0.64004,             0.52924,             0.54949,             0.21552,            0.053261,            0.051019,                   0,          0.00077825,          0.00077825,          0.00077825
                  67,            0.052004,            0.068836,                   0,             0.65177,             0.53411,             0.56863,             0.22061,            0.053295,            0.050616,                   0,           0.0007733,           0.0007733,           0.0007733
                  68,            0.053069,            0.066516,                   0,             0.60176,             0.56043,             0.55069,             0.20764,             0.05435,            0.051155,                   0,          0.00076835,          0.00076835,          0.00076835
                  69,            0.052557,            0.068222,                   0,             0.60231,             0.54322,             0.54861,             0.21765,            0.053439,            0.051224,                   0,           0.0007634,           0.0007634,           0.0007634
                  70,            0.054563,            0.073475,                   0,             0.62805,             0.53704,             0.56124,             0.21135,            0.054011,            0.050993,                   0,          0.00075845,          0.00075845,          0.00075845
                  71,            0.051912,            0.064065,                   0,             0.65951,             0.49805,             0.55066,             0.22011,            0.052735,            0.050902,                   0,           0.0007535,           0.0007535,           0.0007535
                  72,            0.052202,            0.060764,                   0,             0.60646,             0.54386,             0.55772,             0.22169,            0.053082,            0.051347,                   0,          0.00074855,          0.00074855,          0.00074855
                  73,            0.051886,            0.073151,                   0,             0.62173,             0.52339,              0.5488,             0.21288,            0.053771,            0.051321,                   0,           0.0007436,           0.0007436,           0.0007436
                  74,            0.052473,            0.065597,                   0,             0.60481,             0.53314,             0.54427,             0.20826,            0.054302,            0.051366,                   0,          0.00073865,          0.00073865,          0.00073865
                  75,            0.052999,            0.068002,                   0,             0.62763,             0.54873,             0.55838,             0.21655,            0.053702,            0.051369,                   0,           0.0007337,           0.0007337,           0.0007337
                  76,            0.052885,            0.068938,                   0,              0.6327,             0.51852,             0.54783,             0.21055,             0.05389,            0.052068,                   0,          0.00072875,          0.00072875,          0.00072875
                  77,            0.051793,            0.063963,                   0,             0.65351,             0.52942,             0.55997,             0.21977,            0.052786,            0.051705,                   0,           0.0007238,           0.0007238,           0.0007238
                  78,             0.05094,            0.060906,                   0,             0.62679,             0.53021,             0.55494,              0.2145,            0.053234,            0.052098,                   0,          0.00071885,          0.00071885,          0.00071885
                  79,            0.052076,            0.068184,                   0,              0.6159,             0.53605,              0.5479,             0.20824,            0.054273,            0.052089,                   0,           0.0007139,           0.0007139,           0.0007139
                  80,            0.052031,            0.063719,                   0,             0.65066,             0.53314,             0.56776,             0.21894,            0.053175,            0.051464,                   0,          0.00070895,          0.00070895,          0.00070895
                  81,            0.051538,            0.058854,                   0,             0.58741,             0.56477,             0.55584,             0.20955,            0.054058,            0.051747,                   0,            0.000704,            0.000704,            0.000704
                  82,            0.051115,            0.066152,                   0,             0.62132,             0.55491,             0.56159,             0.21543,            0.053314,            0.052065,                   0,          0.00069905,          0.00069905,          0.00069905
                  83,            0.051585,            0.064246,                   0,             0.61375,             0.54971,             0.56022,             0.21677,            0.053406,            0.051928,                   0,           0.0006941,           0.0006941,           0.0006941
                  84,            0.052199,            0.069801,                   0,             0.61561,             0.55568,             0.57166,             0.21946,            0.053351,            0.051882,                   0,          0.00068915,          0.00068915,          0.00068915
                  85,            0.051205,            0.062288,                   0,             0.62853,             0.55848,             0.56655,             0.22056,            0.053105,            0.051726,                   0,           0.0006842,           0.0006842,           0.0006842
                  86,            0.051461,            0.070303,                   0,             0.61756,             0.55458,             0.55696,             0.21425,            0.053795,             0.05214,                   0,          0.00067925,          0.00067925,          0.00067925
                  87,            0.052746,            0.062773,                   0,             0.65181,             0.54736,             0.57823,              0.2222,            0.053471,            0.051706,                   0,           0.0006743,           0.0006743,           0.0006743
                  88,            0.050487,            0.065211,                   0,             0.64805,             0.55848,             0.57069,             0.22185,            0.052826,            0.051848,                   0,          0.00066935,          0.00066935,          0.00066935
                  89,            0.050398,            0.062731,                   0,             0.61823,             0.55874,               0.558,             0.22369,             0.05257,            0.052089,                   0,           0.0006644,           0.0006644,           0.0006644
                  90,            0.049988,            0.065118,                   0,             0.63012,             0.54581,             0.55715,             0.21645,            0.053123,            0.052514,                   0,          0.00065945,          0.00065945,          0.00065945
                  91,            0.050953,            0.061413,                   0,             0.62808,             0.55458,              0.5606,             0.21599,            0.053336,            0.052447,                   0,           0.0006545,           0.0006545,           0.0006545
                  92,             0.05043,            0.061505,                   0,             0.62844,             0.55458,             0.56584,             0.22008,            0.053052,            0.051961,                   0,          0.00064955,          0.00064955,          0.00064955
                  93,            0.050458,            0.067092,                   0,             0.65074,             0.53996,             0.56897,              0.2249,            0.052672,            0.051628,                   0,           0.0006446,           0.0006446,           0.0006446
                  94,            0.049088,            0.065371,                   0,             0.63017,             0.55361,             0.56904,             0.22178,            0.052917,            0.052084,                   0,          0.00063965,          0.00063965,          0.00063965
                  95,            0.050665,            0.070104,                   0,             0.58392,             0.57505,             0.56039,             0.21695,            0.053227,            0.051882,                   0,           0.0006347,           0.0006347,           0.0006347
